trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
299,False,"{'a': 0.3019999999999995, 'e': 2.1845298397558486e-07}",20,16,8.718002070257757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.2999999999999995, 'e': 2.075303347768056e-07}",25,14,21.543301306134037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.2979999999999995, 'e': 1.971538180379653e-07}",30,10,37.05073175997184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.2959999999999995, 'e': 1.8729612713606702e-07}",25,15,20.067076955066636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.2939999999999995, 'e': 1.7793132077926367e-07}",20,6,22.07156403385473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.2919999999999995, 'e': 1.6903475474030048e-07}",20,4,27.510920614660343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.2899999999999995, 'e': 1.6058301700328544e-07}",20,13,13.905625977646867,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.2879999999999995, 'e': 1.5255386615312118e-07}",20,6,22.412200293868896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.2859999999999995, 'e': 1.4492617284546511e-07}",25,1,34.24212893855954,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.2839999999999995, 'e': 1.3767986420319186e-07}",20,9,19.820138985300616,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.2819999999999995, 'e': 1.3079587099303224e-07}",30,17,27.03028838019298,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.27999999999999947, 'e': 1.2425607744338063e-07}",25,18,15.37275558933893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.27799999999999947, 'e': 1.1804327357121159e-07}",25,9,29.165119653572717,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.27599999999999947, 'e': 1.12141109892651e-07}",20,6,23.252785186304042,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.27399999999999947, 'e': 1.0653405439801846e-07}",25,9,27.521308757015476,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.27199999999999946, 'e': 1.0120735167811752e-07}",25,8,33.814191195845204,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.26999999999999946, 'e': 9.614698409421164e-08}",25,5,34.58975410007739,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,25.04383228831792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,13.114700531114234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,19,11.627215106395054,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,19.033201764151976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,10.792216470449159,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,29.34988037813404,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,21.55470947454769,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,22,11.6315179271314,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,19.48500331033566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,19,19.254460744586204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,5,23.002701824902466,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,10,29.16652953967673,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,10,20.336835528688656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,10,22.963812624081704,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,8,19.26479991816323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,2,40.086606323683874,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
